e,link,name,shortname,slides,descriptionText,descriptionLength,descriptionSource,descriptionLink,descriptionRelevance,bizwindowTitle,bizwindowImage,bizwindowAlt,bizwindowReference,bizwindowLink
35,saxon-switserland-national-park,Saxon Switzerland National Park,Saxon Switzerland,5,"Saxon Switzerland (German: Sächsische Schweiz) is an area in Saxony, Germany, so named after its picturesque upland scenery. About 30 km (18 mi) upward the Elbe River from Dresden this is a mountain area made of sandstone. Bizarre stone formations and spectacular views are only a few characteristics of this region that is ideal for hiking, but also for a relaxed day out. For those who like nature, it is surely the most beautiful landscape in Saxony. It can get crowded along the river at summer weekends, if you don't like this, try the colder days. In late autumn or even winter you will nearly be alone outside the villages. There are also many rock castles and caves within the region, most worth a visit. Further up stream along the Elbe/Labe one enters the Czech Republic. However, the rock formations and the natural splendor continue and this region is known historically as the Bohemian Switzerland or ""Böhmische Schweiz"" in German.",944,Wikivoyage,https://en.wikivoyage.org/wiki/Saxon_Switzerland,,,saxon-switserland-national-park-2,Man stands on the peak of sandstone rock in national park Saxony Switzerland and watching to Sun. Beautiful moment the miracle of nature,Wikivoyage,https://en.wikivoyage.org/wiki/Saxon_Switzerland
36,tayrona-national-park,Tayrona National Park,Tayrona,4,"The popular Tayrona Park lies at the Caribbean coast near Santa Marta in Colombia. It has some of South America's loveliest coastline. This little, delightful spot is located about 30 minutes from the city of Rodadero, with beautiful beaches, hammocks to rent for the night, food, water and surf (be careful, though; there is a strong riptide - experienced surfers only!). Additionally, you can get a guide to take you to a native village in the nearby mountains. The park offers a big variety of Flora and Fauna because it includes two ecosystems between the mountain and the sea. It boasts fascinating wildlife including black howler and titi monkeys, red woodpeckers, iguanas, jaguars (which are rarely seen as they hunt at night), a variety of lizards, tropical marine life, and more than 400 species of birds, such as eagles, condors and the odd pet parrots kept at the restaurant at Arrecifes.",899,Wikivoyage,https://en.wikivoyage.org/wiki/Tayrona_National_Park,,,tayrona-national-park-2,"Couple looking at the Sea, Tayrona National Park, Tropical Colombia. South America",Wikivoyage,https://en.wikivoyage.org/wiki/Tayrona_National_Park
37,tikal-national-park,Tikal National Park,Tikal,2,"Tikal was a Maya city of great power and size, the largest of Maya cities during the ""Classic Era"" over 1000 years ago. Many beautiful buildings have been uncovered and many more wait to be discovered. Amongst the many Maya sites in Central America, Tikal is perhaps the most breathtaking because of the scattered impressive buildings which have been restored in an area with many more ruined buildings still enveloped by the jungle. The sight of the temples poking through the canopy is quite awesome. You can climb to the top of a few of the temples and get panoramic views from above the tree tops. Tikal dates back as far as 400 BC, and grew into one of the largest and most powerful of the Mayan cities during the Classic Period (AD 200-900). It often clashed with other cities in the region, and was eventually defeated by Caracol in 562 AD. King Ah Cacau returned Tikal to its former glory about a century later, and it remained somewhat prosperous until the general decline of Mayan civilization set in around AD 900.",1025,Wikivoyage,https://en.wikivoyage.org/wiki/Tikal,,,tikal-national-park-2,Landscape rain forest National Park Tikal in Guatemala at sunset,Wikivoyage,https://en.wikivoyage.org/wiki/Tikal
38,tulum-national-park,Tulum National Park,Tulum,2,"Tulum is on the Yucatán Peninsula, in Mexico. It is one of the earliest resorts in Mexico, offering a place of worship and solitude for the Mayan kings, clergy and gods in early times. The tropical beach backdrop is the main attraction of this picturesque, much-visited small ruin on the shore of the Caribbean Sea. Shortly after your arrival, you will understand why early Mayans picked this beautiful place to relax. Be prepared for lots of people and tour groups at the archaeological site. To avoid the crowds, it is best to stay overnight and visit the ruins early in the morning before the buses arrive, or later in the afternoon. Morning is recommended since you can catch spectacular vistas when the sun is rising over the Caribbean.",741,Wikivoyage,https://en.wikivoyage.org/wiki/Tulum,,,tulum-national-park-2,An iguana against a blue water background,Wikivoyage,https://en.wikivoyage.org/wiki/Tulum
39,ahaggar-national-park,Ahaggar National Park,Ahaggar,2,"This mountainous region is located about 1,500 km (930 mi) south of the capital, Algiers. The area is largely rocky desert with an average elevation of more than 900 m (3,000 ft) above sea level. The highest peak, Mount Tahat, is at 2,908 m (9,541 ft). The mountains are primarily composed of metamorphic rock approximately 2 billion years old, although there are areas where more recent volcanic activity has laid down much newer rock. Several of the more dramatic peaks, such as Ilamen, are the result of erosion wearing away extinct volcano domes, leaving behind the more resistant material that plugged the volcanic cores.",635,Wikipedia,https://www.wikiwand.com/en/Hoggar_Mountains,,,ahaggar-national-park-2,Ahaggar,Wikipedia,https://www.wikiwand.com/en/Hoggar_Mountains
40,bwindi-impenetrable-national-park,Bwindi Impenetrable National Park,Bwindi Impenetrable,5,"Bwindi forest is popular for viewing mountain gorillas in the wild. There are two main points from where you can do this: Buhoma and Nkoringo. Both offer similar opportunities to see the Gorillas. Permits must be obtained from the UWA office in Kampala for foreign nationals. High altitude mountainous with deep valleys. Bwindi Forest is the last remaining piece of primary forest in the area, all the surroundings have been almost completely deforested, and even small pockets of forest are still being cut. The climate varies - Uganda is wet most of the year, with dry periods from June to august. It can be a scorching 30 °C, or a chilly 9 °C, depending on the weather. If you go gorilla tracking, be sure to bring a sweater, at least 2.5 liters of water, long-sleeved t-shirt/trousers, a hat, rain-clothing and decent hiking boots. The tracking takes you through the dense rainforest, where you go up and down steep hills, often with no visible path. If it rains, it will be extremely muddy, if it's dry and the sun is out, you will need a lot of water. Bring insect repellent for the mosquitoes, and consult your doctor for vaccinations and malaria-pills for surrounding regions. No risk of malaria in Buhoma, Nkoringo and Bwindi Forest due to the altitude there are no mosquitoes.",1286,Wikivoyage,https://en.wikivoyage.org/wiki/Bwindi_Impenetrable_National_Park,,,bwindi-impenetrable-national-park-2,Close up Portrait of a mountain gorilla's cub at a short distance. Bwindi Impenetrable Forest National Park. Uganda. Africa,Wikivoyage,https://en.wikivoyage.org/wiki/Bwindi_Impenetrable_National_Park
41,capitol-reef-national-park,Capitol Reef National Park,Capitol Reef,4,"Capitol Reef is a National Park comprising 378 sq mi (980 km2) of sandstone canyons, ridges, buttes, and monoliths. The park is defined by the Waterpocket Fold, a 100 mi (160 km) long wrinkle in the earth's crust known as a monocline. The Fold extends from nearby Thousand Lakes Mountain to the Colorado River (now Lake Powell). Capitol Reef National Park was established to protect this grand and colorful geologic feature, as well as the unique natural and cultural history found in the area. The name was derived from the rounded sandstone buttes which resemble capitol domes and from the long line of rocky cliffs which are a barrier to travel, like a coral reef.",667,Wikivoyage,https://en.wikivoyage.org/wiki/Capitol_Reef_National_Park,,,capitol-reef-national-park-4,Yellow-bellied Marmot in a grassy field at Capitol Reef National Park in Utah,Wikivoyage,https://en.wikivoyage.org/wiki/Capitol_Reef_National_Park
42,chapada-dos-veadeiros-national-park,Chapada dos Veadeiros National Park,Chapada dos Veadeiros,4,"Chapada dos Veadeiros is a big geographical area in the center of Brazil, well known for it's amazing fauna, flora and geological formations. There's a national park, which has an area with 65,515 hectares with plenty of great landscapes, gorgeous waterfalls and lakes and is sought after by many travellers in search of true contact with nature. There are basically two places where you can stay when travelling to Chapada dos Veadeiros: Alto Paraíso and São Jorge. São Jorge is a small village right in front of the national park's entrance. It lacks infrastructure like asphalt roads and public illumination, the intent is to leave the region around the park pretty much as it is, in order not to disturb it's fauna and flora. Even though it might sound uncomfortable for some, that's what makes the small village special. There you really feel you're somewhere mankind hasn't dominated yet, and there you can really experience Chapada. Alto Paraíso is a small city which is about 20 km (12.4 miles) from the national park's entrance. Differently from São Jorge, it is a city with normal public illumination, asphalt roads and so on. You will find there more options for sleeping and eating.",1194,Wikivoyage,https://en.wikivoyage.org/wiki/Chapada_dos_Veadeiros_National_Park,,,chapada-dos-veadeiros-national-park-3,"Woman standing in a fallen tree in Loquinhas Waterfall (Cachoeira Loquinhas), Chapada dos Veadeiros, Brazil",Wikivoyage,https://en.wikivoyage.org/wiki/Chapada_dos_Veadeiros_National_Park
43,chitwan-national-park,Chitwan National Park,Chitwan,7,"In 1973, Chitwan National Park was established covering 932 km2 area is now listed in the World Heritage site by UNESCO. The park consists of a diversity of ecosystems-including the Churia hills, Ox-bow lakes, and the flood plains of the Rapti, Reu and Narayani Rivers. The Churia hills rise slowly towards the East from 150 m. to more than 800 m. The western portion of the park is comprised of the lower but more rugged, Someshwor hill. The park shares its eastern boundary with the Parsa Wildlife Reserve. There are many species of birds, crocodiles, rhinos, sloth bears, tigers (though almost never seen), and monkeys. The elephants you will see walking through the village are domesticated and used for taking tourists on sightseeing excursions. Of course it would not be Nepal without the usual cows, goats, and stray dogs roaming the village as well. Rhino sightings less than a half-mile from the village are not uncommon.",930,Wikivoyage,https://en.wikivoyage.org/wiki/Royal_Chitwan_National_Park,,,chitwan-national-park-2,Elephant riding,Wikivoyage,https://en.wikivoyage.org/wiki/Royal_Chitwan_National_Park
44,corcovado-national-park,Corcovado National Park,Corcovado,5,"National Geographic magazine called Corcovado National Park the ""most biologically intense place on Earth"" and this is no exaggeration. All four of the monkeys species found within Costa Rica (Mantled Howler, Squirrel Monkey, Spider Monkey and White-faced Capuchin) exist in large numbers throughout the park. Two crocodilians (the occasionally large and saline tolerant American Crocodile and the small Spectacled Caiman) persist within all of the park's major waterways, as do Bull sharks. The Jaguar population within the park is the healthiest in all of Central America, however it is still extremely unlikely for a visitor to spot one (most locals have never seen them either.) Many other elusive cats call the park home as well, including the Puma (which is slightly smaller and more arboreal in Central American than in the United States, probably due to competition with the Jaguar,) Ocelot, Jaguarundi and Margay. The park is one of the last strongholds of the Baird's Tapir and there are hundreds within decent proximity from Sirena Station, usually found lounging in the shade or in shallow pools of stagnant water. There are dozens of snake species present, many of them venomous, including the Fer-de-lance (also known as terciopelo or ""Costa Rican landmine"",) the Bushmaster, the Eyelash Pit Viper, and the Coral Snake. The largest snake within the park is the non-venomous Boa Constrictor. Numerous other small mammals and reptiles are common within the park including, but by no means limited to, the White-nosed Coati, Sloth, Tamandua, Giant Anteater, Basilisk, and Ctenosaur. Birds include the highly endangered Scarlet Macaw, the Tiger Heron, Black Vulture and the Chestnut-Mandibled Toucan, among hundreds of others including the critically endangered Harpy Eagle.",1784,Wikivoyage,https://en.wikivoyage.org/wiki/Corcovado_National_Park,,,corcovado-national-park-2,"Green iguana, Iguana iguana, portrait of orange big lizard in the dark green forest, animal in the nature tropic forest habitat, Corcovado National Park, Costa Rica",Wikivoyage,https://en.wikivoyage.org/wiki/Corcovado_National_Park
45,denali-national-park,Denali National Park,Denali,2,"Denali National Park is a United States National Park that is home to Denali, North America's highest mountain (also known as Mt. McKinley). In addition, the park protects an incredible wilderness area that contains grizzly bears, caribou, moose, wolves, and numerous other creatures. It is in the state of Alaska, 240 miles (386 km) north of Anchorage and 120 miles (193 km) south of Fairbanks. Denali National Park comprises a massive area of six million acres (over 24,000 km2), slightly more than the entire state of Massachusetts. The park is best known for the 20,320-ft (6,194 m) Denali. The tremendous 18,000-ft (5,486 m) difference from the mountain's lowlands near Wonder Lake up to its peak is a greater vertical relief than that of Mount Everest. The park is bisected from east to west by the Alaska Range and the Park Road is the only vehicle access into the park.",877,Wikivoyage,https://en.wikivoyage.org/wiki/Denali_National_Park,,,denali-national-park-2,Moose Bull,Wikivoyage,https://en.wikivoyage.org/wiki/Denali_National_Park
46,devils-tower-national-monument,Devils Tower National Monument,Devils Tower,3,"The Tower was known as ""Mateo Tipi"" by American Indians of the region, and is considered sacred. ""Mateo Tipi"" translates as ""Bear Lodge"", as the Indian legend revolves around the creation of the tower as a refuge for a group of Indian youths being pursued by a giant bear. Imploring the great spirit to save them, a rock they were standing on began to rise into the air. The bear tried to reach them, with its claws carving the fluted columns into the rock. The youths then were taken up and became what is known as the seven sisters constellation. A U.S. cavalry scouting party reached the tower in 1876 and incorrectly translated the name to mean ""Bad God's Tower"" and thus its present name remains.",701,Wikivoyage,https://en.wikivoyage.org/wiki/Devils_Tower_National_Monument,,,devils-tower-national-monument-2,Man climbing on the wall of famous mountain Devils Tower in the Black Hills (Wyoming),Wikivoyage,https://en.wikivoyage.org/wiki/Devils_Tower_National_Monument
47,doi-inthanon-national-park,Doi Inthanon National Park,Doi Inthanon,7,"Doi Inthanon National Park (Doi In) is a national park in the Chiang Mai Province of Northern Thailand. Doi In is the highest mountain in Thailand, at 2,599 m (8,527 ft), just a little higher than Australia's highest (Mt Koszciusko) which is 7,310 ft (2,228 m), and although it is relatively cold up at the summit, it never snows. Doi Inthanon is a part of the Himalayas, which ranges across Nepal, Bhutan, Myanmar, and ends in northern Thailand. Complex mountain ranges and a mild climate characterise the area with a moist and dense summit forest. Doi Inthanon is interesting for ornithologists. The summit forest is the source of important tributaries of the Mae Ping River. Meo and Karen hill tribes inhabit the park.",721,Wikivoyage,https://en.wikivoyage.org/wiki/Doi_Inthanon_National_Park,,,doi-inthanon-national-park-6,"Colorful hot-air balloons flying over the doi Inthanon national park with sunrise and morning mist at Chiang mai, Thailand",Wikivoyage,https://en.wikivoyage.org/wiki/Doi_Inthanon_National_Park
48,everglades-national-park,Everglades National Park,Everglades,6,"Everglades National Park, protecting more than 1.5 million acres, is the 3rd largest national park in the lower 48 states, behind Yellowstone National Park (2nd) and Death Valley National Park (1st). It's flat but don't let that fool you into thinking there is no variety. A couple of inches of height brings a marked difference in flora and fauna. The highest ground is populated by Dade County Slash Pine forest, with underbrush that includes saw palmetto. Both plants encourage fire which keeps the hardwoods out. A little lower ""altitude"" brings cypress heads, and lower than that swampland (a river of grass). In the swampland, small hills (a couple of inches higher than water level) are covered with tropical hardwoods with dense foliage below. As you get to the south and southwest part of the 'glades, the tides bring in salt loving plants like mangroves and their kin. There is a lot to see but it takes paying attention to it—and it is well worth the time. Things that may seem small at first may be really big and bring fond memories.",1046,Wikivoyage,https://en.wikivoyage.org/wiki/Everglades_National_Park,,,everglades-national-park-6,"Baby American Alligator (Alligator mississippiensis) hide in the sawgrass in Everglades National Park, Florida",Wikivoyage,https://en.wikivoyage.org/wiki/Everglades_National_Park
49,glacier-bay-national-park,Glacier Bay National Park,Glacier Bay,4,"Glacier Bay National Park and Preserve is a United States National Park and a UNESCO World Heritage Site that is in the Panhandle of the state of Alaska. The park is best known for its massive glaciers, but is also an ideal destination for those seeking wildlife, kayaking, or a chance to get away. The park has snow-capped mountain ranges rising to over {{feet|15,000}{, coastal beaches with protected coves, deep fjords, tidewater glaciers, coastal and estuarine waters, and freshwater lakes. Steep, sculpted peaks and scoured, rock-strewn valleys show scars of glacial activity and mark the advances and retreats of glaciers dating back over 115,000 years to before the Wisconsin Ice Age. The sheltered waters of Glacier Bay ebb and flow with the region’s huge tides, which can change as much as 25 feet during a six-hour period. Ocean waves pound the beaches of the wild and remote Gulf of Alaska coast. Between the bay and the coast, snow-clad peaks of the Fairweather Range capture the moisture coming in off the Gulf of Alaska and, in turn, spawn the park’s largest glaciers. At the base of these lofty peaks, deglaciated foothills and outwash plains rapidly turn green as the ice retreats and seeds find their way to the newly revealed land.",1249,Wikivoyage,https://www.wikiwand.com/en/Glacier_National_Park_(U.S.),,,glaciers-bay-national-park-4,A woman sea kayaking on the flat calm water of Muir Inlet in Glacier Bay National Park,Wikivoyage,https://www.wikiwand.com/en/Glacier_National_Park_(U.S.)
50,grand-teton-national-park,Grand Teton National Park,Grand Teton,6,"Grand Teton National Park is a United States National Park that is located in the Rocky Mountains, in Northwest Wyoming. The park is south of Yellowstone National Park and just north of the town of Jackson. Grand Teton National Park is noted for its stunning mountain vistas, its shimmering alpine lakes and its abundant wildlife. The Wyoming landscape in Grand Teton National Park is stunningly beautiful. This range often represents the entire Rocky Mountain range in countless photographs, postcards, and imaginations. This section of the Rockies is a wondrous playground for climbers, hikers, skiers, and nearly all other outdoor enthusiasts.",646,Wikivoyage,https://en.wikivoyage.org/wiki/Grand_Teton_National_Park,,,grand-teton-national-park-5,Tent in the mountains,Wikivoyage,https://en.wikivoyage.org/wiki/Grand_Teton_National_Park
51,great-smoky-mountains-national-park,Great Smoky Mountains National Park,Great Smoky Mountains,4,"Great Smoky Mountains National Park is a United States National Park, a UNESCO World Heritage Site, and an International Biosphere Reserve that straddles the border between Tennessee and North Carolina. The park is almost 95% forested, with 25% of that being old-growth. Almost 100 different types of native trees can be found in the park in addition to over 1,400 flowering plant species and 4,000 non-flowering plants. The wildlife is abundant as well, featuring hundreds of different bird species, 66 mammal types, 50 types of native fish, as well as numerous reptiles and amphibians.",587,Wikivoyage,https://en.wikivoyage.org/wiki/Great_Smoky_Mountains_National_Park,,,great-smoky-mountains-national-park-4,A large bull elk bugles to attract females and announce his dominance during the annual rutting season. Image made in Great Smoky Mountain National Park,Wikivoyage,https://en.wikivoyage.org/wiki/Great_Smoky_Mountains_National_Park
52,gunung-mulu-national-park,Gunung Mulu National Park,Gunung Mulu,5,"Named after the 2,377m Mount Mulu (Gunung Mulu), the park is famed for its limestone karst formations both above ground and underground. The massive cave systems, which contain the 12 million cubic meter Sarawak Chamber (the world's largest), are still in the process of being mapped. Clearwater Cave at 151 km (Feb 2007) is the 10th longest cave in the world. The limestones belong to the Melinau Limestone Formation and are estimated to be 4000 to 5000m thick. In the south-east of Mulu Park sandstones are dominant. The hightest relief in the region (Gunung Mulu) is located in these sandstones. Mulu's landforms are outstanding examples of erosional processes on both of these rock types (limestones and sandstones). Among the most remarkable karst features are the world's finest example of a karst collapse (The Garden of Eden) and the sharp pointed bladed limestone Pinnacles, some of which are 45m high on the northern end of Gunung Api. There are also numerous examples of cone karst and tower karst. Another interesting feature of the landscape is the drainage through deeply incised gorges (Sungai Melinau at Melinau Gorge and Sungai Medalam to the north) in the limestones.",1185,Wikivoyage,https://en.wikivoyage.org/wiki/Gunung_Mulu_National_Park,,,gunung-mulu-national-park-3,"Deer Cave - one of the largest cave passages in the world, Gunung Mulu national park, Sarawak, Malaysia",Wikivoyage,https://en.wikivoyage.org/wiki/Gunung_Mulu_National_Park
53,haleakala-national-park,Haleakala National Park,Haleakala,5,"Extensive lava flows, ash, and cinder cones cover the floor of the crater at the summit. Many compare it to a moonscape. The Park extends all the way down to sea level and so has varied landscapes. Haleakala National Park has more endangered species than any other park in the NPS, even including species that are listed as endangered by the U.S. Fish and Wildlife Service but not native to the park. Isolation of the Hawaiian Islands from any mainland resulted in unique evolution here. There are only two native Hawaiian land mammals, the monk seal and the hoary bat. There are no native land amphibians or reptiles. Whales, turtles, dolphins and seabirds can sometimes be seen off-shore, while an afternoon spent looking for a glimpse of the freshwater inhabitants (shrimp, rock-climbing goby, other fish) can be a cool and rewarding way to spend your time. Haleakala is famous for its endangered silversword plant. Growing where it seems that almost nothing grows, it is a stunning contrast to the stark landscape.",1018,Wikivoyage,https://en.wikivoyage.org/wiki/Haleakala_National_Park,,,haleakala-national-park-4,"Sunrise over clouds and distant mountains from on top of Haleakala Crater, Maui, Hawaii, USA",Wikivoyage,https://en.wikivoyage.org/wiki/Haleakala_National_Park
54,hawaii-volcanoes-national-park,Hawai'i Volcanoes National Park,Hawai'i Volcanoes,6,"The Hawaiian Archipelago is the most geographically isolated group of islands on Earth. The Park sits on the southeastern edge of the youngest and largest island at a latitude of 19°N. Stretching from the summit of Mauna Loa at 13,677 feet to sea level, the Park protects a wide diversity of ecosystems and habitats in seven different ecological life zones. Native Hawaiian species include carnivorous caterpillars, happy face spiders, colorful Hawaiian honeycreepers, the largest dragonfly in the United States, crickets partial to new lava flows, endangered sea turtles, and just one native terrestrial mammal - a bat. Hawaiian plants and animals began to evolve over 70 million years ago in nearly complete isolation and over 90% of the native terrestrial flora and fauna in Hawai'i are found only in the Hawaiian islands. This level of endemism surpasses all other places on Earth - even the Galapagos Islands. Consequently, the Park is a fantastic laboratory for the study of biogeography and evolution within the Pacific Islands. Today, the Park harbors the descendants of those first colonizers - numerous evolutionary marvels such as mintless mints and nettleless nettles - plants adapted to life without plant-eating mammals.",1234,Wikivoyage,https://en.wikivoyage.org/wiki/Hawaii_Volcanoes_National_Park,,,hawaii-volcanoes-national-park-4,"Beautiful sunset over molten cooled lava landscape in Hawaii Volcanoes National Park, Big Island, Hawaii",Wikivoyage,https://en.wikivoyage.org/wiki/Hawaii_Volcanoes_National_Park
56,jim-corbett-national-park,Jim Corbett National Park,Jim Corbett,3,"Corbett National Park is in the State of Uttarakhand in the Himalayan North region of India. The park is open to visitors from mid-September to mid-June. Once inside the park, one gets to enjoy a spectacular panorama of the jungle, reminding one of Kipling's Jungle Book. Apart from this, one can see, observe, and photograph several many species of birds, mammals, reptiles, flora, etc. Corbett National Park has been the hot favorite getaway for the tourists, wildlife fans, and adventure seekers since many years. However, only a few selected regions of the Corbett Tiger Reserve are open for the tourists to explore its spectacular scenery and the varied wildlife. The number of people coming here has increased dramatically. Every season more than 70,000 visitors come to the park from India and other countries.",817,Wikivoyage,https://en.wikivoyage.org/wiki/Corbett_National_Park,,,jim-corbett-national-park-3,"Tiger swimming in a national park in India. These national treasures are now being protected, but due to urban growth they will never be able to roam India as they used to.",Wikivoyage,https://en.wikivoyage.org/wiki/Corbett_National_Park
57,joshua-tree-national-park,Joshua Tree National Park,Joshua Tree National Park,7,"Two deserts, two large ecosystems whose characteristics are determined primarily by elevation, come together at Joshua Tree National Park. Below 3,000 feet, the Colorado Desert encompasses the eastern part of the park and features natural gardens of creosote bush, ocotillo, and cholla cactus. The higher, moister, and slightly cooler Mojave Desert is the special habitat of the Joshua tree. In addition to Joshua tree forests, the western part of the park also includes some of the most interesting geologic displays found in California's deserts. Five fan palm oases also dot the park, indicating those few areas where water occurs naturally and wildlife abounds. While it may at first appear lifeless, the desert supports myriad of creatures that become active during the evening and early morning. Coyotes are commonly seen near the park roads making their rounds. Jackrabbits and the shy kangaroo rats emerge from their dens in the evenings to forage. Bobcats are less frequently seen, but a lucky traveler might catch one silhouetted against the moonlight. Birds in the park include burrowing owls, vultures, golden eagles, and roadrunners. Lizards, tarantulas, and rattlesnakes may be found among the rocks.",1214,Wikivoyage,https://en.wikivoyage.org/wiki/Joshua_Tree_National_Park,,,joshua-tree-national-park-4,"Rock climber reaching for his next hand hold, Joshua Tree National Park",Wikivoyage,https://en.wikivoyage.org/wiki/Joshua_Tree_National_Park
58,kaziranga-national-park,Kaziranga National Park,Kaziranga,2,"Kaziranga hosts a rich and diverse population of almost 42 species of fish, 9 species of amphibians, 27 species of reptiles, more than 491 species of birds and 35 species of mammals. Among the larger mammals, there are almost 86 tigers (2000 census), 1048 elephants (2002 census), 2048 rhinos (2009 census), 1431 buffalo (2001 census) and 486 swamp deer. Kaziranga also houses more than 546 species of flora. Kaziranga is said to have about 86 tigers, which is the highest density of tigers in the world (1 every 5 km², 2000 census). Visitors seldom see tigers due to the dense, tall grass. The rhinoceros is the real star of the park. Kaziranga also has one of the very last populations of truly wild Asian water buffalo, but even here there are many feral descendants of domesticated water buffalo, and hybridization occurs. The park is also the last haven for greater adjutant storks, with fewer than one hundred nesting pairs.",930,Wikivoyage,https://en.wikivoyage.org/wiki/Kaziranga_National_Park,,,kaziranga-national-park-2,"Misty Morning Elephant Safari, Kaziranga National Park, Gologhat District, Assam State, India",Wikivoyage,https://en.wikivoyage.org/wiki/Kaziranga_National_Park
59,khao-sok-national-park,Khao Sok National Park,Khao Sok,7,"Khao Sok National Park (Thai: เขาสก) is in Surat Thani Province, Thailand. Its area is 739 km², and it includes the 165 square kilometer Cheow Lan Lake contained by the Ratchaprapha Dam. The park is the largest area of virgin forest in southern Thailand and is a remnant of rain forest which is older and more diverse than the Amazon rain forest. Beautiful sandstone and mudstone rocks rise about 300–600 m above sea level. The park is traversed by a limestone mountain range from north to south with a high point of 950 m. This mountain range is hit by monsoon rain coming from both the Gulf of Thailand and the Andaman Sea, which makes it among Thailand's wettest regions with an annual rain fall of 3,500 mm. Heavy rainfall and falling leaves led to the erosion of the limestone rocks and created the significant karst formations seen today.",861,Wikpedia,https://www.wikiwand.com/en/Khao_Sok_National_Park,,,khao-sok-national-park-6,"Macaques Monkey sitting on rock in the lush rainforest of Khao Sok National Park, Thailand",Wikpedia,https://www.wikiwand.com/en/Khao_Sok_National_Park
60,kidepo-valley-national-park,Kidepo Valley National Park,Kidepo Valley,2,"Kidepo Valley National Park is in northeast Uganda. It covers 1436 km² and borders onto South Sudan. The park contains unusual, not often sighted predators such as the aardwolf, bat-eared fox, caracal, cheetah, hunting dog and striped hyena. the park also contains the usual plains animals such as lions, leopards, giraffe and other common herbivores. Small cats are also found within the park. Herbivores include elephant, rothschild giraffe, nile buffalo, burchell's zebra, oribi, klipspringer, uganda kob, greater and lesser kudu, warthog, bush pig, topi, grant's gazelle, eland, bushbuck, common duiker, bush duskier, roan antelope, beisa oryx, dik dik, Defassa Waterbuck, jackson's hartbeest, Chandlers Mountain reedbuck and Bohor reedbuck. Carnivores include lion, cheetah, leopard, carcal, serval, spotted hyena, stripped hyena, aardwolf, african hunting dogs, black-backed jackal, side-striped jackal and bat eared foxes. Primates found in the park include the endemic (found nowhere else) Kavirondo bush baby. 465 species of bird have been recorded in the park and 58 of these are birds of prey and 14 of these are endemic to the region.",1146,Wikivoyage,https://en.wikivoyage.org/wiki/Kidepo_Valley_National_Park,,,kidepo-valley-national-park-2,"Patas monkey, Kidepo Valley National Park (Uganda)",Wikivoyage,https://en.wikivoyage.org/wiki/Kidepo_Valley_National_Park
61,loch-lomond-and-trassachs-national-park,Loch Lomond and Trossachs National Park,Loch Lomond and Trossachs,2,"The park consists of many mountains and lochs, and the principal attractions are scenery, walking, and wildlife. For walkers seeking a challenge, the West Highland Way passes through the park, while the mountains of Ben Lomond in Dunbartonshire and The Cobbler in the Arrochar Alps on the Cowal Peninsula attract most hikers. Less intrepid visitors can detour from the A82 to view the Falls of Dochart. There is a national park visitor centre at the southern end of Loch Lomond, called Loch Lomond Shores in Balloch, which includes a visitor information centre at the most popular gateway to the park, as well as an aquarium, shops and restaurants. On Loch Katrine, visitors can travel on the historic steamship SS Sir Walter Scott, while cruises on Loch Lomond can be taken from Tarbet, Argyll and Bute and Balloch; there is also an extensive water taxi service between most lochside communities.",897,Wikipedia,https://www.wikiwand.com/en/Loch_Lomond_and_The_Trossachs_National_Park,,,loch-lomond-and-trossachs-national-park-2,Loch Lomond Scotland,Wikipedia,https://www.wikiwand.com/en/Loch_Lomond_and_The_Trossachs_National_Park
62,mercantour-national-park,Mercantour National Park,Mercantour,5,"Mercantour National Park (French: Parc national du Mercantour) is one of the ten national parks of France. Since it was created in 1979, the Mercantour Park has proven popular, with 800,000 visitors every year enjoying the 600 km of marked footpaths and visiting its villages.",276,Wikipedia,https://www.wikiwand.com/en/Mercantour_National_Park,,,mercantour-national-park-2,"Stony slopes of canyon go down in azure the rivers Verdon. National park Merkantur, Provence",Wikipedia,https://www.wikiwand.com/en/Mercantour_National_Park
63,monte-roraima-national-park,Monte Roraima National Park,Monte Roraima,2,"Roraima is the highest tepuy (spanish for table mountain) on the triple border of Venezuela, Brazil and Guyana. It is around 2,800 metres tall. Its name is derived from 'Roroi-ma,' which in Pemon means 'big blue-green.' The only way visitors can climb to the top is from the Gran Sabana side, in Venezuela. The first recorded person to climb this tepuy was Sir Everard im Thurn in 1884. This mountain also inspired Sir Arthur Conan Doyle for his classic novel The Lost World in 1912. He envisioned cavemen and prehistoric animals running amok atop the summit. Although far-fetched, the idea is a valid one: the tepuys are regarded as 'islands in time' by scientists since species have developed in complete isolation on top of them over millennia.",747,Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Roraima,,,monte-roraima-national-park-2,"View from the Roraima tepui on Kukenan tepui at the fog - Venezuela, Latin America",Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Roraima
